iter	RMSE
0	51.58607714
1	49.23638167
2	46.96219889
3	44.79644367
4	42.71647421
5	40.74521719
6	38.95508263
7	37.13407421
8	35.45509665
9	33.86458483
10	32.3522647
11	30.873496
12	29.48786526
13	28.16243831
14	26.88608309
15	25.67448731
16	24.54177677
17	23.45405338
18	22.41708633
19	21.43908826
20	20.54245386
21	19.62716722
22	18.77369679
23	17.97817707
24	17.21006197
25	16.47800936
26	15.80417368
27	15.14327601
28	14.52529765
29	13.91507083
30	13.3476731
31	12.81983227
32	12.30455099
33	11.83279999
34	11.39101528
35	10.94673162
36	10.53870132
37	10.12243157
38	9.748672644
39	9.407640485
40	9.068520792
41	8.740204055
42	8.453872872
43	8.16196255
44	7.885160022
45	7.633686003
46	7.387990814
47	7.148957653
48	6.916772152
49	6.695879185
50	6.50186679
51	6.303456402
52	6.132848938
53	5.968655574
54	5.82128941
55	5.671975626
56	5.529244291
57	5.406060825
58	5.273837345
59	5.153551647
60	5.029030058
61	4.921070008
62	4.826087436
63	4.721513768
64	4.637791228
65	4.554265753
66	4.469518963
67	4.385518921
68	4.314816385
69	4.245797233
70	4.18181985
71	4.115238051
72	4.050034441
73	3.989049547
74	3.938791918
75	3.890069996
76	3.84657711
77	3.792400668
78	3.754510225
79	3.741237696
80	3.692452615
81	3.651537314
82	3.616268171
83	3.604732442
84	3.592365334
85	3.552460343
86	3.542642206
87	3.533101114
88	3.517927677
89	3.507291083
90	3.495920396
91	3.463272544
92	3.436110623
93	3.407438489
94	3.398983328
95	3.388616375
96	3.35041964
97	3.341561812
98	3.308716036
99	3.300354741
100	3.291811774
101	3.282714621
102	3.257197629
103	3.237441037
104	3.230011218
105	3.223274428
106	3.216398709
107	3.209997218
108	3.202862495
109	3.196675724
110	3.18966492
111	3.183733304
112	3.157595796
113	3.134293334
114	3.126331235
115	3.119789587
116	3.113167843
117	3.096217693
118	3.073430755
119	3.05622293
120	3.030488879
121	3.022962201
122	3.016788585
123	3.010371458
124	2.996930219
125	2.991444422
126	2.978820818
127	2.973917978
128	2.954807513
129	2.950828545
130	2.944826084
131	2.926161476
132	2.921268115
133	2.90141388
134	2.881163944
135	2.877580861
136	2.873024156
137	2.851601413
138	2.847888586
139	2.841828654
140	2.824266592
141	2.820452386
142	2.815378128
143	2.803658697
144	2.800777471
145	2.79701029
146	2.791529705
147	2.773726939
148	2.768011451
149	2.765436425
150	2.758607232
151	2.739738167
152	2.727871978
153	2.72042491
154	2.716508298
155	2.705123773
156	2.688521942
157	2.68536982
158	2.676028614
159	2.673953814
160	2.669919006
161	2.651784904
162	2.631847434
163	2.618180492
164	2.605417301
165	2.601174075
166	2.597607096
167	2.594431156
168	2.581343202
169	2.570017246
170	2.565937068
171	2.5562953
172	2.545141417
173	2.540154223
174	2.536850079
175	2.524439906
176	2.518360406
177	2.51302628
178	2.510273853
179	2.507458588
180	2.502622752
181	2.489632848
