iter	Passed	Remaining
0	1	1021
1	2	1307
2	3	1160
3	4	1220
4	5	1132
5	6	1089
6	7	1044
7	8	1018
8	9	1066
9	12	1260
10	13	1229
11	15	1290
12	16	1252
13	17	1218
14	19	1248
15	19	1227
16	20	1210
17	21	1186
18	22	1170
19	23	1163
20	24	1146
21	26	1195
22	27	1178
23	28	1167
24	29	1152
25	30	1137
26	32	1168
27	34	1185
28	35	1184
29	36	1175
30	37	1186
31	38	1178
32	39	1169
33	40	1157
34	41	1149
35	43	1156
36	43	1144
37	45	1140
38	46	1137
39	47	1140
40	48	1133
41	51	1175
42	52	1170
43	53	1164
44	54	1156
45	55	1150
46	56	1143
47	57	1136
48	58	1129
49	59	1123
50	60	1117
51	61	1112
52	62	1107
53	62	1102
54	63	1097
55	64	1092
56	65	1087
57	66	1082
58	67	1078
59	68	1074
60	69	1069
61	71	1075
62	72	1071
63	73	1076
64	74	1071
65	75	1066
66	77	1072
67	78	1069
68	78	1064
69	79	1059
70	80	1057
71	81	1055
72	82	1050
73	83	1048
74	84	1047
75	86	1052
76	87	1051
77	88	1046
78	90	1051
79	91	1049
80	92	1044
81	93	1047
82	94	1048
83	95	1046
84	96	1043
85	98	1050
86	99	1042
87	100	1037
88	101	1042
89	103	1050
90	104	1046
91	105	1043
92	107	1043
93	108	1047
94	109	1044
95	110	1038
96	111	1038
97	112	1033
98	113	1029
99	114	1026
100	114	1023
101	115	1020
102	117	1020
103	118	1018
104	120	1026
105	120	1019
106	122	1025
107	123	1020
108	124	1015
109	125	1011
110	127	1018
111	128	1016
112	130	1021
113	131	1021
114	132	1018
115	133	1017
116	134	1013
117	135	1011
118	136	1011
119	137	1009
120	139	1014
121	140	1011
122	141	1006
123	143	1015
124	144	1012
125	145	1012
126	146	1009
127	147	1007
128	148	1005
129	149	1000
130	150	998
131	151	995
132	152	993
133	153	992
134	154	992
135	155	987
136	156	987
137	157	985
138	159	986
139	160	986
140	161	984
141	162	982
142	163	978
143	164	976
144	165	975
145	166	976
146	167	973
147	168	971
148	169	968
149	169	963
150	171	966
151	175	977
152	176	975
153	176	970
154	178	971
155	178	968
156	179	966
157	180	961
158	181	958
159	181	953
160	182	950
161	183	948
162	184	945
163	185	943
164	185	941
165	186	939
166	187	936
167	188	934
168	189	932
169	190	930
170	191	928
171	192	926
172	193	924
173	194	922
174	195	920
175	196	917
176	196	915
177	197	913
178	198	911
179	200	913
180	201	912
181	202	911
182	203	909
183	205	910
184	206	909
185	207	906
186	208	904
187	208	902
188	209	900
189	210	899
190	211	897
191	212	895
192	213	893
193	214	891
194	215	890
195	216	887
196	217	885
197	218	884
198	220	886
199	221	884
200	221	882
201	222	880
202	223	877
203	224	877
204	226	876
205	227	875
206	230	882
207	231	880
208	232	879
209	233	877
210	235	880
211	238	888
212	241	890
213	241	888
214	242	885
215	243	884
216	244	883
217	245	882
218	246	880
219	248	881
220	249	879
221	251	880
222	252	878
223	253	876
224	254	875
225	255	873
226	257	878
227	258	875
228	259	874
229	260	872
230	261	870
231	262	869
232	263	867
233	264	865
234	264	862
235	266	861
236	267	861
237	268	860
238	269	857
239	270	855
240	271	854
241	272	852
242	273	850
243	273	847
244	274	846
245	275	845
246	276	844
247	277	842
248	278	841
249	279	839
250	280	837
251	281	835
252	282	834
253	285	839
254	287	841
255	289	841
256	290	839
257	291	838
258	297	849
259	298	848
260	299	846
261	299	844
262	300	842
263	301	841
264	303	840
265	304	838
266	304	837
267	305	835
268	307	836
269	308	835
270	309	833
271	310	831
272	311	830
273	312	829
274	313	827
275	314	825
276	315	824
277	316	822
278	318	822
279	319	821
280	320	820
281	323	822
282	324	821
283	325	819
284	326	817
285	326	816
286	327	814
287	328	813
288	330	812
289	331	811
290	333	811
291	334	811
292	335	809
293	336	808
294	337	806
295	338	805
296	339	803
297	340	802
298	341	801
299	342	799
300	343	798
301	344	796
302	346	796
303	347	795
304	348	794
305	349	792
306	350	791
307	351	789
308	352	788
309	353	787
310	354	786
311	355	784
312	356	782
313	357	781
314	358	779
315	359	778
316	360	777
317	361	775
318	362	774
319	363	772
320	364	771
321	365	769
322	366	768
323	367	766
324	368	765
325	369	763
326	370	762
327	371	760
328	372	759
329	373	757
330	374	756
331	375	754
332	376	753
333	377	752
334	378	750
335	379	749
336	380	747
337	381	746
338	381	744
339	382	743
340	383	741
341	384	740
342	385	738
343	386	737
344	387	736
345	388	734
346	389	733
347	390	731
348	391	730
349	392	728
350	393	727
351	394	726
352	395	724
353	396	723
354	397	721
355	398	720
356	399	718
357	400	717
358	400	715
359	401	714
360	402	713
361	403	711
362	404	710
363	405	709
364	406	707
365	407	706
366	408	704
367	409	703
368	410	702
369	411	700
370	412	699
371	413	698
372	414	696
373	415	695
374	416	694
375	417	692
376	418	691
377	419	690
378	420	689
379	421	688
380	422	686
381	423	685
382	424	683
383	425	682
384	426	681
385	427	679
386	428	679
387	429	677
388	430	676
389	431	674
390	432	673
391	433	672
392	434	670
393	435	669
394	436	668
395	437	666
396	438	665
397	438	664
398	440	663
399	441	662
400	442	660
401	443	659
402	444	659
403	446	658
404	447	657
405	448	655
406	449	654
407	449	652
408	450	651
409	451	650
410	452	649
411	453	647
412	454	646
413	455	645
414	456	643
415	457	642
416	459	641
417	461	642
418	462	641
419	463	639
420	463	638
421	464	636
422	465	635
423	466	634
424	467	632
425	468	631
426	469	630
427	470	628
428	471	627
429	472	626
430	473	625
431	474	624
432	475	622
433	476	621
434	477	620
435	479	619
436	480	618
437	481	617
438	481	615
439	482	614
440	483	613
441	484	611
442	485	610
443	486	609
444	487	608
445	488	607
446	489	606
447	490	604
448	492	604
449	493	603
450	495	602
451	496	601
452	496	600
453	497	598
454	499	598
455	501	597
456	502	597
457	503	596
458	504	594
459	505	593
460	506	592
461	507	590
462	508	589
463	508	587
464	509	586
465	510	585
466	511	583
467	512	582
468	513	581
469	514	580
470	515	578
471	516	577
472	517	576
473	518	574
474	518	573
475	519	572
476	520	570
477	521	569
478	522	568
479	523	566
480	524	565
481	525	564
482	526	563
483	527	561
484	528	560
485	528	559
486	529	558
487	530	556
488	531	555
489	532	554
490	533	552
491	533	551
492	535	550
493	536	549
494	537	548
495	538	546
496	539	545
497	540	544
498	541	543
499	541	541
500	542	540
501	543	539
502	544	537
503	545	536
504	546	535
505	547	534
506	548	532
507	548	531
508	549	530
509	550	529
510	551	527
511	552	526
512	553	525
513	554	524
514	555	522
515	556	521
516	557	520
517	557	519
518	558	517
519	559	516
520	560	515
521	561	514
522	562	513
523	563	511
524	564	510
525	565	509
526	566	508
527	567	507
528	568	506
529	570	505
530	571	504
531	573	504
532	574	503
533	576	502
534	577	501
535	577	500
536	578	498
537	579	497
538	580	496
539	582	496
540	583	495
541	584	493
542	585	492
543	586	491
544	587	490
545	588	489
546	589	488
547	590	486
548	591	485
549	592	484
550	592	483
551	593	481
552	594	480
553	595	479
554	596	478
555	597	476
556	598	475
557	599	474
558	600	473
559	601	472
560	602	471
561	603	470
562	605	469
563	605	468
564	606	467
565	607	465
566	608	464
567	609	463
568	610	462
569	611	461
570	612	459
571	613	458
572	613	457
573	614	456
574	616	455
575	616	454
576	617	452
577	618	451
578	619	450
